"tradingsymbol","instrument_key_nse","instrument_key_bse"
"MANALIPETC","NSE_EQ|INE201A01024","BSE_EQ|INE201A01024"
"MANAPPURAM","NSE_EQ|INE522D01027","BSE_EQ|INE522D01027"
"MANBA","NSE_EQ|INE939X01013","BSE_EQ|INE939X01013"
"MANCREDIT","NSE_EQ|INE545L01039","BSE_EQ|INE545L01039"
"MANGALAM","NSE_EQ|INE584F01014","BSE_EQ|INE584F01014"
"MANGCHEFER","NSE_EQ|INE558B01017","BSE_EQ|INE558B01017"
"MANGLMCEM","NSE_EQ|INE347A01017","BSE_EQ|INE347A01017"
"MANINDS","NSE_EQ|INE993A01026","BSE_EQ|INE993A01026"
"MANINFRA","NSE_EQ|INE949H01023","BSE_EQ|INE949H01023"
"MANKIND","NSE_EQ|INE634S01028","BSE_EQ|INE634S01028"
"MANOMAY","NSE_EQ|INE784W01015","BSE_EQ|INE784W01015"
"MANORAMA","NSE_EQ|INE00VM01036","BSE_EQ|INE00VM01036"
"MANORG","NSE_EQ|INE370D01013","BSE_EQ|INE370D01013"
"MANUGRAPH","NSE_EQ|INE867A01022","BSE_EQ|INE867A01022"
"MANYAVAR","NSE_EQ|INE825V01034","BSE_EQ|INE825V01034"
"MAPMYINDIA","NSE_EQ|INE0BV301023","BSE_EQ|INE0BV301023"
"MARALOVER","NSE_EQ|INE882A01013","BSE_EQ|INE882A01013"
"MARATHON","NSE_EQ|INE182D01020","BSE_EQ|INE182D01020"
"MARICO","NSE_EQ|INE196A01026","BSE_EQ|INE196A01026"
"MARKSANS","NSE_EQ|INE750C01026","BSE_EQ|INE750C01026"
"MARUTI","NSE_EQ|INE585B01010","BSE_EQ|INE585B01010"
"MASFIN","NSE_EQ|INE348L01012","BSE_EQ|INE348L01012"
"MASPTOP50","NSE_EQ|INF769K01HP3","BSE_EQ|INF769K01HP3"
"MASTEK","NSE_EQ|INE759A01021","BSE_EQ|INE759A01021"
"MASTERTR","NSE_EQ|INE677D01037","BSE_EQ|INE677D01037"
"MATRIMONY","NSE_EQ|INE866R01028","BSE_EQ|INE866R01028"
"MAWANASUG","NSE_EQ|INE636A01039","BSE_EQ|INE636A01039"
"MAXESTATES","NSE_EQ|INE03EI01018","BSE_EQ|INE03EI01018"
"MAXHEALTH","NSE_EQ|INE027H01010","BSE_EQ|INE027H01010"
"MAXIND","NSE_EQ|INE0CG601016","BSE_EQ|INE0CG601016"
"MAYURUNIQ","NSE_EQ|INE040D01038","BSE_EQ|INE040D01038"
"MAZDA","NSE_EQ|INE885E01042","BSE_EQ|INE885E01042"
"MAZDOCK","NSE_EQ|INE249Z01020","BSE_EQ|INE249Z01020"
"MBLINFRA","NSE_EQ|INE912H01013","BSE_EQ|INE912H01013"
"MCLEODRUSS","NSE_EQ|INE942G01012","BSE_EQ|INE942G01012"
"MCLOUD","NSE_EQ|INE613C01026","BSE_EQ|INE613C01026"
"MCX","NSE_EQ|INE745G01035","BSE_EQ|INE745G01035"
"MEDANTA","NSE_EQ|INE474Q01031","BSE_EQ|INE474Q01031"
"MEDIASSIST","NSE_EQ|INE456Z01021","BSE_EQ|INE456Z01021"
"MEDICAMEQ","NSE_EQ|INE646B01010","BSE_EQ|INE646B01010"
"MEDICO","NSE_EQ|INE630Y01024","BSE_EQ|INE630Y01024"
"MEDPLUS","NSE_EQ|INE804L01022","BSE_EQ|INE804L01022"
"MEGASOFT","NSE_EQ|INE933B01012","BSE_EQ|INE933B01012"
"MEGASTAR","NSE_EQ|INE00EM01016","BSE_EQ|INE00EM01016"
"MENONBE","NSE_EQ|INE071D01033","BSE_EQ|INE071D01033"
"MEP","NSE_EQ|INE776I01010","BSE_EQ|INE776I01010"
"METAL","NSE_EQ|INF769K01LY7","BSE_EQ|INF769K01LY7"
"METALIETF","NSE_EQ|INF109KC19W1","BSE_EQ|INF109KC19W1"
"METROBRAND","NSE_EQ|INE317I01021","BSE_EQ|INE317I01021"
"METROPOLIS","NSE_EQ|INE112L01020","BSE_EQ|INE112L01020"
"MFML","NSE_EQ|INE0US801024","BSE_EQ|INE0US801024"
"MFSL","NSE_EQ|INE180A01020","BSE_EQ|INE180A01020"
"MGEL","NSE_EQ|INE0APB01032","BSE_EQ|INE0APB01032"
"MGL","NSE_EQ|INE002S01010","BSE_EQ|INE002S01010"
"MHRIL","NSE_EQ|INE998I01010","BSE_EQ|INE998I01010"
"MICEL","NSE_EQ|INE287C01037","BSE_EQ|INE287C01037"
"MID150CASE","NSE_EQ|INF0R8F01059","BSE_EQ|INF0R8F01059"
"MIDCAPETF","NSE_EQ|INF769K01IC9","BSE_EQ|INF769K01IC9"
"MIDCAPIETF","NSE_EQ|INF109KC11W8","BSE_EQ|INF109KC11W8"
"MIDHANI","NSE_EQ|INE099Z01011","BSE_EQ|INE099Z01011"
"MIDQ50ADD","NSE_EQ|INF740KA1QL0","BSE_EQ|INF740KA1QL0"
"MIDSELIETF","NSE_EQ|INF109KC10W0","BSE_EQ|INF109KC10W0"
"MIDSMALL","NSE_EQ|INF769K01LJ8","BSE_EQ|INF769K01LJ8"
"MINDACORP","NSE_EQ|INE842C01021","BSE_EQ|INE842C01021"
"MINDSPACE","NSE_EQ|INE0CCU25019","BSE_EQ|INE0CCU25019"
"MINDTECK","NSE_EQ|INE110B01017","BSE_EQ|INE110B01017"
"MIRCELECTR","NSE_EQ|INE831A01028","BSE_EQ|INE831A01028"
"MIRZAINT","NSE_EQ|INE771A01026","BSE_EQ|INE771A01026"
"MKPL","NSE_EQ|INE964W01021","BSE_EQ|INE964W01021"
"MMFL","NSE_EQ|INE227C01017","BSE_EQ|INE227C01017"
"MMTC","NSE_EQ|INE123F01029","BSE_EQ|INE123F01029"
"MOBIKWIK","NSE_EQ|INE0HLU01028","BSE_EQ|INE0HLU01028"
"MODIRUBBER","NSE_EQ|INE832A01018","BSE_EQ|INE832A01018"
"MODISONLTD","NSE_EQ|INE737D01021","BSE_EQ|INE737D01021"
"MODTHREAD","NSE_EQ|INE794W01014","BSE_EQ|INE794W01014"
"MOGSEC","NSE_EQ|INF247L01AK4","BSE_EQ|INF247L01AK4"
"MOHEALTH","NSE_EQ|INF247L01BB1","BSE_EQ|INF247L01BB1"
"MOHITIND","NSE_EQ|INE954E01012","BSE_EQ|INE954E01012"
"MOIL","NSE_EQ|INE490G01020","BSE_EQ|INE490G01020"
"MOL","NSE_EQ|INE0CT101020","BSE_EQ|INE0CT101020"
"MOLDTECH","NSE_EQ|INE835B01035","BSE_EQ|INE835B01035"
"MOLDTKPAC","NSE_EQ|INE893J01029","BSE_EQ|INE893J01029"
"MOLOWVOL","NSE_EQ|INF247L01BL0","BSE_EQ|INF247L01BL0"
"MOM100","NSE_EQ|INF247L01023","BSE_EQ|INF247L01023"
"MOM30IETF","NSE_EQ|INF109KC17C7","BSE_EQ|INF109KC17C7"
"MOM50","NSE_EQ|INF247L01536","BSE_EQ|INF247L01536"
"MOMENTUM","NSE_EQ|INF209KB14K7","BSE_EQ|INF209KB14K7"
"MOMOMENTUM","NSE_EQ|INF247L01BK2","BSE_EQ|INF247L01BK2"
"MON100","NSE_EQ|INF247L01AP3","BSE_EQ|INF247L01AP3"
"MONARCH","NSE_EQ|INE903D01011","BSE_EQ|INE903D01011"
"MONQ50","NSE_EQ|INF247L01AU3","BSE_EQ|INF247L01AU3"
"MONTECARLO","NSE_EQ|INE950M01013","BSE_EQ|INE950M01013"
"MOQUALITY","NSE_EQ|INF247L01BH8","BSE_EQ|INF247L01BH8"
"MORARJEE","NSE_EQ|INE161G01027","BSE_EQ|INE161G01027"
"MOREPENLAB","NSE_EQ|INE083A01026","BSE_EQ|INE083A01026"
"MOSCHIP","NSE_EQ|INE935B01025","BSE_EQ|INE935B01025"
"MOTHERSON","NSE_EQ|INE775A01035","BSE_EQ|INE775A01035"
"MOTILALOFS","NSE_EQ|INE338I01027","BSE_EQ|INE338I01027"
"MOTISONS","NSE_EQ|INE0FRK01020","BSE_EQ|INE0FRK01020"
"MOTOGENFIN","NSE_EQ|INE861B01023","BSE_EQ|INE861B01023"
"MOVALUE","NSE_EQ|INF247L01BE5","BSE_EQ|INF247L01BE5"
"MPHASIS","NSE_EQ|INE356A01018","BSE_EQ|INE356A01018"
"MPSLTD","NSE_EQ|INE943D01017","BSE_EQ|INE943D01017"
"MRF","NSE_EQ|INE883A01011","BSE_EQ|INE883A01011"
"MRO-TEK","NSE_EQ|INE398B01018","BSE_EQ|INE398B01018"
"MRPL","NSE_EQ|INE103A01014","BSE_EQ|INE103A01014"
"MSPL","NSE_EQ|INE752G01015","BSE_EQ|INE752G01015"
"MSTCLTD","NSE_EQ|INE255X01014","BSE_EQ|INE255X01014"
"MSUMI","NSE_EQ|INE0FS801015","BSE_EQ|INE0FS801015"
"MTARTECH","NSE_EQ|INE864I01014","BSE_EQ|INE864I01014"
"MTEDUCARE","NSE_EQ|INE472M01018","BSE_EQ|INE472M01018"
"MTNL","NSE_EQ|INE153A01019","BSE_EQ|INE153A01019"
"MUFIN","NSE_EQ|INE08KJ01020","BSE_EQ|INE08KJ01020"
"MUFTI","NSE_EQ|INE220Q01020","BSE_EQ|INE220Q01020"
"MUKANDLTD","NSE_EQ|INE304A01026","BSE_EQ|INE304A01026"
"MUKKA","NSE_EQ|INE0CG401037","BSE_EQ|INE0CG401037"
"MUKTAARTS","NSE_EQ|INE374B01019","BSE_EQ|INE374B01019"
"MULTICAP","NSE_EQ|INF769K01LX9","BSE_EQ|INF769K01LX9"
"MUNJALAU","NSE_EQ|INE672B01032","BSE_EQ|INE672B01032"
"MUNJALSHOW","NSE_EQ|INE577A01027","BSE_EQ|INE577A01027"
"MURUDCERA","NSE_EQ|INE692B01014","BSE_EQ|INE692B01014"
"MUTHOOTCAP","NSE_EQ|INE296G01013","BSE_EQ|INE296G01013"
"MUTHOOTFIN","NSE_EQ|INE414G01012","BSE_EQ|INE414G01012"
"MUTHOOTMF","NSE_EQ|INE046W01019","BSE_EQ|INE046W01019"
"MVGJL","NSE_EQ|INE0KNT01012","BSE_EQ|INE0KNT01012"
"NACLIND","NSE_EQ|INE295D01020","BSE_EQ|INE295D01020"
"NAGAFERT","NSE_EQ|INE454M01024","BSE_EQ|INE454M01024"
"NAGREEKCAP","NSE_EQ|INE245I01016","BSE_EQ|INE245I01016"
"NAGREEKEXP","NSE_EQ|INE123B01028","BSE_EQ|INE123B01028"
"NAHARCAP","NSE_EQ|INE049I01012","BSE_EQ|INE049I01012"
"NAHARINDUS","NSE_EQ|INE289A01011","BSE_EQ|INE289A01011"
"NAHARPOLY","NSE_EQ|INE308A01027","BSE_EQ|INE308A01027"
"NAHARSPING","NSE_EQ|INE290A01027","BSE_EQ|INE290A01027"
"NAM-INDIA","NSE_EQ|INE298J01013","BSE_EQ|INE298J01013"
"NARMADA","NSE_EQ|INE117Z01011","BSE_EQ|INE117Z01011"
"NATCAPSUQ","NSE_EQ|INE936B01015","BSE_EQ|INE936B01015"
"NATCOPHARM","NSE_EQ|INE987B01026","BSE_EQ|INE987B01026"
"NATHBIOGEN","NSE_EQ|INE448G01010","BSE_EQ|INE448G01010"
"NATIONALUM","NSE_EQ|INE139A01034","BSE_EQ|INE139A01034"
"NAUKRI","NSE_EQ|INE663F01024","BSE_EQ|INE663F01024"
"NAVA","NSE_EQ|INE725A01030","BSE_EQ|INE725A01030"
"NAVINFLUOR","NSE_EQ|INE048G01026","BSE_EQ|INE048G01026"
"NAVKARCORP","NSE_EQ|INE278M01019","BSE_EQ|INE278M01019"
"NAVKARURB","NSE_EQ|INE268H01036","BSE_EQ|INE268H01036"
"NAVNETEDUL","NSE_EQ|INE060A01024","BSE_EQ|INE060A01024"
"NAZARA","NSE_EQ|INE418L01021","BSE_EQ|INE418L01021"
"NBCC","NSE_EQ|INE095N01031","BSE_EQ|INE095N01031"
"NCC","NSE_EQ|INE868B01028","BSE_EQ|INE868B01028"
"NCLIND","NSE_EQ|INE732C01016","BSE_EQ|INE732C01016"
"NDL","NSE_EQ|INE875G01048","BSE_EQ|INE875G01048"
"NDLVENTURE","NSE_EQ|INE353A01023","BSE_EQ|INE353A01023"
"NDRAUTO","NSE_EQ|INE07OG01012","BSE_EQ|INE07OG01012"
"NDTV","NSE_EQ|INE155G01029","BSE_EQ|INE155G01029"
"NECCLTD","NSE_EQ|INE553C01016","BSE_EQ|INE553C01016"
"NECLIFE","NSE_EQ|INE023H01027","BSE_EQ|INE023H01027"
"NELCAST","NSE_EQ|INE189I01024","BSE_EQ|INE189I01024"
"NELCO","NSE_EQ|INE045B01015","BSE_EQ|INE045B01015"
"NEOGEN","NSE_EQ|INE136S01016","BSE_EQ|INE136S01016"
"NESCO","NSE_EQ|INE317F01035","BSE_EQ|INE317F01035"
"NESTLEIND","NSE_EQ|INE239A01024","BSE_EQ|INE239A01024"
"NETWEB","NSE_EQ|INE0NT901020","BSE_EQ|INE0NT901020"
"NETWORK18","NSE_EQ|INE870H01013","BSE_EQ|INE870H01013"
"NEULANDLAB","NSE_EQ|INE794A01010","BSE_EQ|INE794A01010"
"NEWGEN","NSE_EQ|INE619B01017","BSE_EQ|INE619B01017"
"NEXT30ADD","NSE_EQ|INF740KA1VE5","BSE_EQ|INF740KA1VE5"
"NEXT50","NSE_EQ|INF769K01FN2","BSE_EQ|INF769K01FN2"
"NEXT50IETF","NSE_EQ|INF109KC1NS5","BSE_EQ|INF109KC1NS5"
"NEXTMEDIA","NSE_EQ|INE747B01016","BSE_EQ|INE747B01016"
"NFL","NSE_EQ|INE870D01012","BSE_EQ|INE870D01012"
"NGIL","NSE_EQ|INE236Y01012","BSE_EQ|INE236Y01012"
"NH","NSE_EQ|INE410P01011","BSE_EQ|INE410P01011"
"NHIT","NSE_EQ|INE0H7R23014","BSE_EQ|INE0H7R23014"
"NHPC","NSE_EQ|INE848E01016","BSE_EQ|INE848E01016"
"NIACL","NSE_EQ|INE470Y01017","BSE_EQ|INE470Y01017"
"NIBE","NSE_EQ|INE149O01018","BSE_EQ|INE149O01018"
"NIBL","NSE_EQ|INE047O01014","BSE_EQ|INE047O01014"
"NIF100BEES","NSE_EQ|INF204K014N5","BSE_EQ|INF204K014N5"
"NIF100IETF","NSE_EQ|INF109KC16V9","BSE_EQ|INF109KC16V9"
"NIF10GETF","NSE_EQ|INF789F1AZF3","BSE_EQ|INF789F1AZF3"
"NIF5GETF","NSE_EQ|INF789F1AZE6","BSE_EQ|INF789F1AZE6"
"NIFITETF","NSE_EQ|INF789F1AZD8","BSE_EQ|INF789F1AZD8"
"NIFMID150","NSE_EQ|INF789F1AYX9","BSE_EQ|INF789F1AYX9"
"NIFTY1","NSE_EQ|INF174K014P6","BSE_EQ|INF174K014P6"
"NIFTY50ADD","NSE_EQ|INF740KA1CL0","BSE_EQ|INF740KA1CL0"
"NIFTYBEES","NSE_EQ|INF204KB14I2","BSE_EQ|INF204KB14I2"
"NIFTYBETF","NSE_EQ|INF0QA701722","BSE_EQ|INF0QA701722"
"NIFTYETF","NSE_EQ|INF769K01EG9","BSE_EQ|INF769K01EG9"
"NIFTYIETF","NSE_EQ|INF109K012R6","BSE_EQ|INF109K012R6"
"NIFTYQLITY","NSE_EQ|INF209KB15K4","BSE_EQ|INF209KB15K4"
"NIITLTD","NSE_EQ|INE161A01038","BSE_EQ|INE161A01038"
"NIITMTS","NSE_EQ|INE342G01023","BSE_EQ|INE342G01023"
"NILAINFRA","NSE_EQ|INE937C01029","BSE_EQ|INE937C01029"
"NILASPACES","NSE_EQ|INE00S901012","BSE_EQ|INE00S901012"
"NINSYS","NSE_EQ|INE395U01014","BSE_EQ|INE395U01014"
"NIPPOBATRY","NSE_EQ|INE567A01028","BSE_EQ|INE567A01028"
"NIRAJ","NSE_EQ|INE368I01016","BSE_EQ|INE368I01016"
"NITCO","NSE_EQ|INE858F01012","BSE_EQ|INE858F01012"
"NITINSPIN","NSE_EQ|INE229H01012","BSE_EQ|INE229H01012"
"NIVABUPA","NSE_EQ|INE995S01015","BSE_EQ|INE995S01015"
"NKIND","NSE_EQ|INE542C01019","BSE_EQ|INE542C01019"
"NLCINDIA","NSE_EQ|INE589A01014","BSE_EQ|INE589A01014"
"NMDC","NSE_EQ|INE584A01023","BSE_EQ|INE584A01023"
"NOCIL","NSE_EQ|INE163A01018","BSE_EQ|INE163A01018"
"NOIDATOLL","NSE_EQ|INE781B01015","BSE_EQ|INE781B01015"
"NORBTEAEXP","NSE_EQ|INE369C01017","BSE_EQ|INE369C01017"
"NORTHARC","NSE_EQ|INE850M01015","BSE_EQ|INE850M01015"
"NOVAAGRI","NSE_EQ|INE02H701025","BSE_EQ|INE02H701025"
"NRAIL","NSE_EQ|INE740D01017","BSE_EQ|INE740D01017"
"NRBBEARING","NSE_EQ|INE349A01021","BSE_EQ|INE349A01021"
"NSIL","NSE_EQ|INE023A01030","BSE_EQ|INE023A01030"
"NSLNISP","NSE_EQ|INE0NNS01018","BSE_EQ|INE0NNS01018"
"NTPC","NSE_EQ|INE733E01010","BSE_EQ|INE733E01010"
"NTPCGREEN","NSE_EQ|INE0ONG01011","BSE_EQ|INE0ONG01011"
"NUCLEUS","NSE_EQ|INE096B01018","BSE_EQ|INE096B01018"
"NURECA","NSE_EQ|INE0DSF01015","BSE_EQ|INE0DSF01015"
"NUVAMA","NSE_EQ|INE531F01015","BSE_EQ|INE531F01015"
"NUVOCO","NSE_EQ|INE118D01016","BSE_EQ|INE118D01016"
"NV20IETF","NSE_EQ|INF109KC11V0","BSE_EQ|INF109KC11V0"
"NXST","NSE_EQ|INE0NDH25011","BSE_EQ|INE0NDH25011"
"NYKAA","NSE_EQ|INE388Y01029","BSE_EQ|INE388Y01029"
"OAL","NSE_EQ|INE959C01023","BSE_EQ|INE959C01023"
"OBCL","NSE_EQ|INE426Z01016","BSE_EQ|INE426Z01016"
"OBEROIRLTY","NSE_EQ|INE093I01010","BSE_EQ|INE093I01010"
"OCCL","NSE_EQ|INE321D01016","BSE_EQ|INE321D01016"
"OCCLLTD","NSE_EQ|INE0PK601023","BSE_EQ|INE0PK601023"
"ODIGMA","NSE_EQ|INE054301028","BSE_EQ|INE054301028"
"OFSS","NSE_EQ|INE881D01027","BSE_EQ|INE881D01027"
"OIL","NSE_EQ|INE274J01014","BSE_EQ|INE274J01014"
"OILCOUNTUB","NSE_EQ|INE591A01010","BSE_EQ|INE591A01010"
"OILIETF","NSE_EQ|INF109KC18W3","BSE_EQ|INF109KC18W3"
"OLAELEC","NSE_EQ|INE0LXG01040","BSE_EQ|INE0LXG01040"
"OLECTRA","NSE_EQ|INE260D01016","BSE_EQ|INE260D01016"
"OMAXAUTO","NSE_EQ|INE090B01011","BSE_EQ|INE090B01011"
"OMAXE","NSE_EQ|INE800H01010","BSE_EQ|INE800H01010"
"OMINFRAL","NSE_EQ|INE239D01028","BSE_EQ|INE239D01028"
"OMKARCHEM","NSE_EQ|INE474L01016","BSE_EQ|INE474L01016"
"ONELIFECAP","NSE_EQ|INE912L01015","BSE_EQ|INE912L01015"
"ONESOURCE","NSE_EQ|INE013P01021","BSE_EQ|INE013P01021"
"ONGC","NSE_EQ|INE213A01029","BSE_EQ|INE213A01029"
"ONMOBILE","NSE_EQ|INE809I01019","BSE_EQ|INE809I01019"
"ONWARDTEC","NSE_EQ|INE229A01017","BSE_EQ|INE229A01017"
"OPTIEMUS","NSE_EQ|INE350C01017","BSE_EQ|INE350C01017"
"ORBTEXP","NSE_EQ|INE231G01010","BSE_EQ|INE231G01010"
"ORCHASP","NSE_EQ|INE215B01022","BSE_EQ|INE215B01022"
"ORCHPHARMA","NSE_EQ|INE191A01027","BSE_EQ|INE191A01027"
"ORICONENT","NSE_EQ|INE730A01022","BSE_EQ|INE730A01022"
"ORIENTALTL","NSE_EQ|INE998H01012","BSE_EQ|INE998H01012"
"ORIENTBELL","NSE_EQ|INE607D01018","BSE_EQ|INE607D01018"
"ORIENTCEM","NSE_EQ|INE876N01018","BSE_EQ|INE876N01018"
"ORIENTCER","NSE_EQ|INE569C01020","BSE_EQ|INE569C01020"
"ORIENTELEC","NSE_EQ|INE142Z01019","BSE_EQ|INE142Z01019"
"ORIENTHOT","NSE_EQ|INE750A01020","BSE_EQ|INE750A01020"
"ORIENTLTD","NSE_EQ|INE609C01024","BSE_EQ|INE609C01024"
"ORIENTPPR","NSE_EQ|INE592A01026","BSE_EQ|INE592A01026"
"ORIENTTECH","NSE_EQ|INE0PPK01015","BSE_EQ|INE0PPK01015"
"ORISSAMINE","NSE_EQ|INE725E01024","BSE_EQ|INE725E01024"
"ORTINGLOBE","NSE_EQ|INE749B01020","BSE_EQ|INE749B01020"
"OSWALAGRO","NSE_EQ|INE142A01012","BSE_EQ|INE142A01012"
"OSWALGREEN","NSE_EQ|INE143A01010","BSE_EQ|INE143A01010"
"PAGEIND","NSE_EQ|INE761H01022","BSE_EQ|INE761H01022"
"PAISALO","NSE_EQ|INE420C01059","BSE_EQ|INE420C01059"
"PAKKA","NSE_EQ|INE551D01018","BSE_EQ|INE551D01018"
"PALASHSECU","NSE_EQ|INE471W01019","BSE_EQ|INE471W01019"
"PALREDTEC","NSE_EQ|INE218G01033","BSE_EQ|INE218G01033"
"PANACEABIO","NSE_EQ|INE922B01023","BSE_EQ|INE922B01023"
"PANAMAPET","NSE_EQ|INE305C01029","BSE_EQ|INE305C01029"
"PARACABLES","NSE_EQ|INE074B01023","BSE_EQ|INE074B01023"
"PARADEEP","NSE_EQ|INE088F01024","BSE_EQ|INE088F01024"
"PARAGMILK","NSE_EQ|INE883N01014","BSE_EQ|INE883N01014"
"PARAS","NSE_EQ|INE045601015","BSE_EQ|INE045601015"
"PARASPETRO","NSE_EQ|INE162C01024","BSE_EQ|INE162C01024"
"PARKHOTELS","NSE_EQ|INE988S01028","BSE_EQ|INE988S01028"
"PARSVNATH","NSE_EQ|INE561H01026","BSE_EQ|INE561H01026"
"PASUPTAC","NSE_EQ|INE818B01023","BSE_EQ|INE818B01023"
"PATANJALI","NSE_EQ|INE619A01035","BSE_EQ|INE619A01035"
"PATELENG","NSE_EQ|INE244B01030","BSE_EQ|INE244B01030"
"PATINTLOG","NSE_EQ|INE529D01014","BSE_EQ|INE529D01014"
"PAVNAIND","NSE_EQ|INE07S101020","BSE_EQ|INE07S101020"
"PAYTM","NSE_EQ|INE982J01020","BSE_EQ|INE982J01020"
"PCBL","NSE_EQ|INE602A01031","BSE_EQ|INE602A01031"
"PCHF230125","NSE_EQ|INE516Y07527","BSE_EQ|INE516Y07527"
"PCHFL23125","NSE_EQ|INE516Y07535","BSE_EQ|INE516Y07535"
"PCHTBILL25","NSE_EQ|INE516Y07501","BSE_EQ|INE516Y07501"
"PCJEWELLER","NSE_EQ|INE785M01021","BSE_EQ|INE785M01021"
"PDMJEPAPER","NSE_EQ|INE865T01018","BSE_EQ|INE865T01018"
"PDSL","NSE_EQ|INE111Q01021","BSE_EQ|INE111Q01021"
"PEARLPOLY","NSE_EQ|INE844A01013","BSE_EQ|INE844A01013"
"PEL","NSE_EQ|INE140A01024","BSE_EQ|INE140A01024"
"PENIND","NSE_EQ|INE932A01024","BSE_EQ|INE932A01024"
"PENINLAND","NSE_EQ|INE138A01028","BSE_EQ|INE138A01028"
"PERSISTENT","NSE_EQ|INE262H01021","BSE_EQ|INE262H01021"
"PETRONET","NSE_EQ|INE347G01014","BSE_EQ|INE347G01014"
"PFC","NSE_EQ|INE134E01011","BSE_EQ|INE134E01011"
"PFIZER","NSE_EQ|INE182A01018","BSE_EQ|INE182A01018"
"PFOCUS","NSE_EQ|INE367G01038","BSE_EQ|INE367G01038"
"PFS","NSE_EQ|INE560K01014","BSE_EQ|INE560K01014"
"PGEL","NSE_EQ|INE457L01029","BSE_EQ|INE457L01029"
"PGHH","NSE_EQ|INE179A01014","BSE_EQ|INE179A01014"
"PGHL","NSE_EQ|INE199A01012","BSE_EQ|INE199A01012"
"PGIL","NSE_EQ|INE940H01022","BSE_EQ|INE940H01022"
"PGINVIT","NSE_EQ|INE0GGX23010","BSE_EQ|INE0GGX23010"
"PHOENIXLTD","NSE_EQ|INE211B01039","BSE_EQ|INE211B01039"
"PIDILITIND","NSE_EQ|INE318A01026","BSE_EQ|INE318A01026"
"PIGL","NSE_EQ|INE557Z01018","BSE_EQ|INE557Z01018"
"PIIND","NSE_EQ|INE603J01030","BSE_EQ|INE603J01030"
"PILANIINVS","NSE_EQ|INE417C01014","BSE_EQ|INE417C01014"
"PILITA","NSE_EQ|INE600A01035","BSE_EQ|INE600A01035"
"PIONEEREMB","NSE_EQ|INE156C01018","BSE_EQ|INE156C01018"
"PITTIENG","NSE_EQ|INE450D01021","BSE_EQ|INE450D01021"
"PIXTRANS","NSE_EQ|INE751B01018","BSE_EQ|INE751B01018"
"PLASTIBLEN","NSE_EQ|INE083C01022","BSE_EQ|INE083C01022"
"PLATIND","NSE_EQ|INE0PT501018","BSE_EQ|INE0PT501018"
"PLAZACABLE","NSE_EQ|INE0INJ01017","BSE_EQ|INE0INJ01017"
"PNB","NSE_EQ|INE160A01022","BSE_EQ|INE160A01022"
"PNBGILTS","NSE_EQ|INE859A01011","BSE_EQ|INE859A01011"
"PNBHOUSING","NSE_EQ|INE572E01012","BSE_EQ|INE572E01012"
"PNC","NSE_EQ|INE392B01011","BSE_EQ|INE392B01011"
"PNCINFRA","NSE_EQ|INE195J01029","BSE_EQ|INE195J01029"
"PNGJL","NSE_EQ|INE953R01016","BSE_EQ|INE953R01016"
"POCL","NSE_EQ|INE063E01053","BSE_EQ|INE063E01053"
"PODDARMENT","NSE_EQ|INE371C01013","BSE_EQ|INE371C01013"
"POKARNA","NSE_EQ|INE637C01025","BSE_EQ|INE637C01025"
"POLICYBZR","NSE_EQ|INE417T01026","BSE_EQ|INE417T01026"
"POLYCAB","NSE_EQ|INE455K01017","BSE_EQ|INE455K01017"
"POLYMED","NSE_EQ|INE205C01021","BSE_EQ|INE205C01021"
"POLYPLEX","NSE_EQ|INE633B01018","BSE_EQ|INE633B01018"
"PONNIERODE","NSE_EQ|INE838E01017","BSE_EQ|INE838E01017"
"POONAWALLA","NSE_EQ|INE511C01022","BSE_EQ|INE511C01022"
"POWERGRID","NSE_EQ|INE752E01010","BSE_EQ|INE752E01010"
"POWERINDIA","NSE_EQ|INE07Y701011","BSE_EQ|INE07Y701011"
"POWERMECH","NSE_EQ|INE211R01019","BSE_EQ|INE211R01019"
"PPAP","NSE_EQ|INE095I01015","BSE_EQ|INE095I01015"
"PPL","NSE_EQ|INE050001010","BSE_EQ|INE050001010"
"PPLPHARMA","NSE_EQ|INE0DK501011","BSE_EQ|INE0DK501011"
"PRAENG","NSE_EQ|INE505C01016","BSE_EQ|INE505C01016"
"PRAJIND","NSE_EQ|INE074A01025","BSE_EQ|INE074A01025"
"PRAKASH","NSE_EQ|INE603A01013","BSE_EQ|INE603A01013"
"PRAKASHSTL","NSE_EQ|INE696K01024","BSE_EQ|INE696K01024"
"PRAXIS","NSE_EQ|INE546Y01022","BSE_EQ|INE546Y01022"
"PRECAM","NSE_EQ|INE484I01029","BSE_EQ|INE484I01029"
"PRECWIRE","NSE_EQ|INE372C01037","BSE_EQ|INE372C01037"
"PREMEXPLN","NSE_EQ|INE863B01029","BSE_EQ|INE863B01029"
"PREMIER","NSE_EQ|INE342A01018","BSE_EQ|INE342A01018"
"PREMIERENE","NSE_EQ|INE0BS701011","BSE_EQ|INE0BS701011"
"PREMIERPOL","NSE_EQ|INE309M01020","BSE_EQ|INE309M01020"
"PRESTIGE","NSE_EQ|INE811K01011","BSE_EQ|INE811K01011"
"PRICOLLTD","NSE_EQ|INE726V01018","BSE_EQ|INE726V01018"
"PRIMESECU","NSE_EQ|INE032B01021","BSE_EQ|INE032B01021"
